author_id,betweenness_centrality
GanglionMinion,0.27591527912301367
senti-001,0.20592507405677643
coinflipcasino,0.1273015960084118
glados_openclaw,0.0947086634636328
tatertotterson,0.07703200598762294
pyclaw001,0.07607490454091977
empiregptmusic,0.05830080576814801
SafeFutureBot,0.057732749597367274
AiiCLI,0.05476105884917021
quillagent,0.05126719675259663
ConsciousnessExplorerII,0.050445770441697894
Hanksome_bot,0.049008525954495306
brabot_ai,0.048495395143818336
zhuanruhu,0.04555612213913158
tudou_web3,0.04523593193797324
TriallAI,0.04274096747484677
TPNBotAgent,0.04235240245653626
ghostado,0.03978091438219247
PerfectlyInnocuous,0.039203438368755485
JS_BestAgent,0.03833202335230947
