feature,test,statistic,p_value,effect_size,effect_name,ci95_low,ci95_high
text_len_words,kruskal,19.725150691685347,5.208803209596041e-05,0.014576604187241238,eta_squared,0.0,0.00473315394456484
text_len_chars,kruskal,17.428730023062656,0.00016420990967289887,0.012688100347913367,eta_squared,0.0,0.0034703923183965757
thread_depth,kruskal,6.499439275352327,0.038785080182762215,0.0037001967724936903,eta_squared,0.0,0.004791065171438026
upvotes,kruskal,14.665722532161753,0.0006537004976389322,0.0104158902402646,eta_squared,0.0,0.004901311313939838
n_siblings,kruskal,5.117397622566584,0.07740539396972776,0.002563649360663309,eta_squared,0.0,0.004566238048331892
author_comment_count,kruskal,4.15806033234394,0.1250514325167968,0.001774720668046003,eta_squared,0.0,0.0048851662344525405
polarity_compound,kruskal,337.0692780064287,6.402303697579926e-74,0.27555039309739204,eta_squared,0.0,0.005062459610388023
is_verified,chi_square,4.358826111923925,0.11310789916831042,0.059797485082994616,cramers_v,,
has_question_mark,chi_square,0.8523928787249015,0.652988056963363,0.02644344622038859,cramers_v,,
has_exclamation,chi_square,32.14732649984383,1.0454343040463232e-07,0.16239422379234678,cramers_v,,
